author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/295331221/;Москва;sale;flat;26;40;2;48.7;23900000;Раменки;1-й Сетуньский проезд;вл8;Студенческая;Hide
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/289296396/;Москва;sale;flat;3;48;2;55.5;23999000;Ростокино;;;Ботанический сад;Режиссер ЖК
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640396/;Москва;sale;flat;21;49;2;61.18;23982560;Марьина роща; Веткина;2С7;Марьина Роща;TATE
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/298407613/;Москва;sale;flat;8;25;2;57.0;24000000;Лосиноостровский;Тайнинская ;9;Медведково;Нормандия
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/299966050/;Москва;sale;flat;13;16;2;53.7;24000000;Таганский; Талалихина;1К2;Пролетарская;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/292944249/;Москва;sale;flat;5;30;2;48.1;23990000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Sydney City
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/299927969/;Москва;sale;flat;9;43;2;70.5;24000000;Западное Дегунино;Ильменский проезд;14к1;Селигерская;Селигер Сити
Центр-Инвест;representative_developer;https://www.cian.ru/sale/flat/298334379/;Москва;sale;flat;9;15;2;40.3;24018796;Раменки;Винницкая ;8к3;Раменки;Настоящее
Татьяна Васильева;realtor;https://www.cian.ru/sale/flat/299585362/;Москва;sale;flat;7;26;2;49.0;23999000;Алексеевский;Староалексеевская ;5А;Алексеевская;Лайм
Наталия Якубович;realtor;https://www.cian.ru/sale/flat/298654675/;Москва;sale;flat;5;21;2;57.0;24000000;Хорошевский; Зорге;9;Полежаевская;Зорге 9
Надежда Владова;realtor;https://www.cian.ru/sale/flat/299297359/;Москва;sale;flat;4;5;2;50.0;24300000;Аэропорт;Шебашевский проезд;8К1;Аэропорт;
Ярославна Слинько;realtor;https://www.cian.ru/sale/flat/299300790/;Москва;sale;flat;14;23;2;47.5;24450000;Хорошево-Мневники; Народного Ополчения;13;Народное Ополчение;Wellton Gold
DOLGOV PRO;real_estate_agent;https://www.cian.ru/sale/flat/288960560/;Москва;sale;flat;8;27;2;56.0;24500000;Лефортово; Золоторожский Вал;11к16;Площадь Ильича;Символ
MR Group;developer;https://www.cian.ru/sale/flat/298229741/;Москва;sale;flat;25;39;2;67.07;24615444;Западное Дегунино;Северный ао;;Селигерская;Селигер Сити ЖК
ФСК;developer;https://www.cian.ru/sale/flat/280374511/;Москва;sale;flat;3;29;2;46.3;24625025;Нагатино-Садовники;;;Нагатинская;Роттердам ЖК
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299759051/;Москва;sale;flat;12;30;2;53.0;24500000;Южнопортовый;Волгоградский проспект;32/5к3;Угрешская;Метрополия
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/299370735/;Москва;sale;flat;3;6;2;52.7;24610900;Хорошево-Мневники; Саляма Адиля;2А;Народное Ополчение;Wellton SPA Residence
Самолет Плюс МСК-Север;real_estate_agent;https://www.cian.ru/sale/flat/298213487/;Москва;sale;flat;6;13;2;61.7;24500000;Даниловский;2-я оч.;к1.2;ЗИЛ;Shagal
МПБ;real_estate_agent;https://www.cian.ru/sale/flat/296600526/;Москва;sale;flat;9;19;2;70.8;24500000;Таганский;Международная ;15А;Москва-Товарная;Monodom
Минские холмы;developer;https://www.cian.ru/sale/flat/298045105/;Москва;sale;flat;37;56;2;49.6;24674794;Раменки;;;Минская;Вилл Тауэрс ЖК
Пионер;developer;https://www.cian.ru/sale/flat/296152716/;Москва;sale;flat;11;13;2;70.15;24835225;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/297766869/;Москва;sale;flat;17;30;2;48.3;24799999;Хорошево-Мневники;;;Шелепиха;Сидней Сити ЖК
Владимир Фетискин;realtor;https://www.cian.ru/sale/flat/297941141/;Москва;sale;flat;5;23;2;60.0;24990000;Богородское;Тюменский проезд;3к5;Бульвар Рокоссовского;Преображение
Welcome 24;real_estate_agent;https://www.cian.ru/sale/flat/298202670/;Москва;sale;flat;21;30;2;38.0;25000000;Хорошево-Мневники;бульвар Генерала Карбышева;11;Народное Ополчение;Union Park
Эксклюзив Хоум;real_estate_agent;https://www.cian.ru/sale/flat/297733145/;Москва;sale;flat;19;48;2;53.3;24900000;Бутырский;Новодмитровская ;2к6;Дмитровская;Савеловский Сити
Cristall Realty;real_estate_agent;https://www.cian.ru/sale/flat/296515190/;Москва;sale;flat;26;27;2;56.0;25000000;Хорошевский; Зорге;9к2;Хорошёвская;Рихард
Самолет Плюс МСК-Север;real_estate_agent;https://www.cian.ru/sale/flat/295013929/;Москва;sale;flat;4;28;2;73.9;25000000;Даниловский; Ильи Чашника;;Технопарк;Shagal
Владис;real_estate_agent;https://www.cian.ru/sale/flat/299848599/;Москва;sale;flat;3;9;2;46.0;25000000;Гагаринский;Ленинский проспект;41/2;Ленинский проспект;
Галина Розенберг;realtor;https://www.cian.ru/sale/flat/298726658/;Москва;sale;flat;6;27;2;45.0;24995000;Раменки; Янковского;1к3;Аминьевская;Событие
Алексей Ермишин;realtor;https://www.cian.ru/sale/flat/299125015/;Москва;sale;flat;6;25;2;68.4;25000000;Филевский парк;Береговой проезд;5к2;Фили;Фили Град
Alliance Agency Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/299244228/;Москва;sale;flat;4;9;2;47.0;25300000;Даниловский;проспект Лихачева;20;Технопарк;Nagatino i-Land
ЗАПАДНЫЙ САД;real_estate_agent;https://www.cian.ru/sale/flat/296263461/;Москва;sale;flat;8;14;2;44.0;25499000;Раменки;проспект Генерала Дорохова;39к1Б;Минская;Собрание клубных домов West Garden
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/299284617/;Москва;sale;flat;7;8;2;43.9;25550000;Хамовники;Комсомольский проспект;34;Фрунзенская;
Пионер;developer;https://www.cian.ru/sale/flat/296044781/;Москва;sale;flat;3;13;2;72.57;25778451;Москворечье-Сабурово;;;Варшавская;Лайф Варшавская ЖК
ID 12230578;homeowner;https://www.cian.ru/sale/flat/298839555/;Москва;sale;flat;9;11;2;42.7;25910000;Останкинский; Годовикова;11к2;Алексеевская;iLove
