author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/286542367/;Москва;sale;flat;13;42;1;42.0;27600000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Трансстройинвест;developer;https://www.cian.ru/sale/flat/293058838/;Москва;sale;flat;16;22;1;58.9;27967016;Останкинский;проспект Мира;105;ВДНХ;Сенатор
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/299207021/;Москва;sale;flat;2;31;1;47.2;27979000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
EstateLiga;real_estate_agent;https://www.cian.ru/sale/flat/278577291/;Москва;sale;flat;32;44;1;49.5;28000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
TOUCH;developer;https://www.cian.ru/sale/flat/299290967/;Москва;sale;flat;8;8;1;48.79;28466000;Южнопортовый;;к1;Дубровка;Шампайн ЖК
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/297988751/;Москва;sale;flat;9;21;1;42.1;28899000;Басманный; Земляной Вал;37;Чкаловская;Дом Chkalov
Стадион Спартак;developer;https://www.cian.ru/sale/flat/276650470/;Москва;sale;flat;3;22;1;49.4;29220100;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Стадион Спартак;developer;https://www.cian.ru/sale/flat/292187765/;Москва;sale;flat;4;9;1;58.1;29148770;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
Бульварное кольцо Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/286010224/;Москва;sale;flat;6;22;1;50.0;28990000;Красносельский;Большая Спасская ;35;Красные ворота;Dialog
Капиталъ-Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/296779707/;Москва;sale;flat;2;8;1;47.0;29450000;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/300069031/;Москва;sale;flat;18;32;1;51.0;30000000;Хорошевский;Хорошевское шоссе;12к1;Беговая;
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/299733638/;Москва;sale;flat;16;21;1;42.0;30600000;Хорошевский;Хорошевское шоссе;25Ак3;Хорошёвская;Династия
КОРТРОС;developer;https://www.cian.ru/sale/flat/289877849/;Москва;sale;flat;50;51;1;45.97;30799900;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
Sminex;developer;https://www.cian.ru/sale/flat/299262078/;Москва;sale;flat;10;14;1;44.5;30750000;Раменки;проспект Генерала Дорохова;39к2М;;Собрание клубных домов West Garden
Балтийская Строительная Компания;developer;https://www.cian.ru/sale/flat/297286562/;Москва;sale;flat;13;13;1;46.9;31727850;Арбат; Новый Арбат;;Смоленская;Звёзды Арбата
Sminex;developer;https://www.cian.ru/sale/flat/296278127/;Москва;sale;flat;12;13;1;44.5;31960000;Раменки;проспект Генерала Дорохова;39к2;Минская;Собрание клубных домов West Garden
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/298873711/;Москва;sale;flat;7;20;1;59.4;31799000;Хорошево-Мневники; Шеногина;2;Шелепиха;Sydney City
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/299056189/;Москва;sale;flat;9;45;1;47.5;32045295;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299935075/;Москва;sale;flat;9;13;1;56.79;32097708;;;В21 кв-л;Опалиха;Сберсити ЖК
MadeState;real_estate_agent;https://www.cian.ru/sale/flat/298834459/;Москва;sale;flat;21;37;1;47.3;32000000;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
Центр Посуточной Аренды;real_estate_agent;https://www.cian.ru/sale/flat/299887677/;Москва;sale;flat;4;8;1;37.2;32000000;Тверской;1-я Тверская-Ямская ;10;Маяковская;
Балтийская Строительная Компания;developer;https://www.cian.ru/sale/flat/297286565/;Москва;sale;flat;12;13;1;48.6;32610600;Арбат; Новый Арбат;;Смоленская;Звёзды Арбата
